Ref,Val,Package,PosX,PosY,Rot,Side
"C3","","",3.5560,-5.3340,90.0000,bottom
"C4","","",14.2240,-3.8100,-90.0000,bottom
"C5","","",16.2560,-3.8100,-90.0000,bottom
"C6","","",15.4940,-6.6040,180.0000,bottom
"C7","","",22.0980,-14.7320,180.0000,bottom
"C8","","",21.5900,-9.9060,-90.0000,bottom
"C9","","",27.6860,-21.5900,180.0000,bottom
"C10","","",32.2580,-8.1280,90.0000,bottom
"C11","","",34.7980,-7.6200,90.0000,bottom
"D1","","",0.2540,-6.8580,-90.0000,bottom
"D2","","",25.1460,0.2540,90.0000,bottom
"R1","","",14.9860,-15.7480,-90.0000,bottom
"R2","","",7.8740,-15.7480,90.0000,bottom
"R3","","",4.5720,-16.7640,0.0000,bottom
"R4","","",4.5220,-10.6757,180.0000,bottom
"R5","","",4.5720,-14.7320,0.0000,bottom
"R6","","",4.5720,-12.7000,180.0000,bottom
"R7","","",12.9540,-15.7480,-90.0000,bottom
"R8","","",9.9060,-15.7480,90.0000,bottom
"R10","","",14.9860,3.8100,180.0000,bottom
"R11","","",-2.2860,-6.8580,-90.0000,bottom
"R12","","",18.5420,3.8100,0.0000,bottom
"R13","","",28.1940,-0.7620,90.0000,bottom
"R14","","",23.1140,-21.5900,0.0000,bottom
"R15","","",22.6060,-17.5260,-90.0000,bottom
"R16","","",18.7960,-9.1440,180.0000,bottom
"R17","","",22.0980,-12.7000,0.0000,bottom
"R18","","",23.6220,-9.9060,90.0000,bottom
"R22","","",59.6900,-13.2080,-90.0000,bottom
"R24","","",62.2300,-13.2080,-90.0000,bottom
"U1","","",8.8900,-5.5880,180.0000,bottom
"U2","","",27.9400,-10.6680,0.0000,bottom
